,상권코드명,link
358,쌍문역동측상점가,92
359,미아역,94
360,길음역 10번,96
361,성신여대입구역 1번,97
362,한성대입구역,98
363,삼각지역,104
364,방화역 1번,110
365,송정역 2번,113
366,화곡역 4번,117
367,까치산역 1번,118
368,영등포시장역 3번,123
369,군자역,138
370,아차산역,139
371,천호역,141
372,굽은다리역 4번,144
373,방이역 1번,150
374,거여역,152
375,응암역,156
376,구산역 1번,159
377,증산역 1번,161
378,마포구청역 4번,164
379,상수역(홍대),166
380,효창공원앞역 2번,169
381,보문역 5번,175
382,안암역,176
383,상월곡역 3번,179
384,돌곶이역 3번,180
385,석계역 2번,181
386,상봉역 3번,194
387,면목역 2번,195
388,사가정역,196
389,어린이대공원역,199
390,강남구청역,202
391,논현역 4번,204
392,내방역 4번,206
393,이수역 5번,207
394,상도역 5번,210
395,장승배기역,211
396,신대방삼거리역 1번,212
397,보라매역 2번,213
398,신풍역 6번(신길6동공영주차장),214
399,남구로역 2번,215
400,온수역 8번,220
401,암사역 2번(서울강동초등학교),230
402,석촌역 3번,233
403,문정역,235
404,방배역,33
405,신대방역 1번,39
406,대림역,41
407,충정로역,51
408,연신내역 2번,60
409,불광역,61
410,홍제역,63
411,송정역,113
412,화곡역,117
413,까치산역,118
414,굽은다리역 3번,144
415,방이역,150
416,구산역,159
417,돌곶이역 5번,180
418,상봉역,194
419,논현역,204
420,내방역 8번,206
421,신대방삼거리역,212
422,보라매역,213
423,신풍역 1번,214
424,암사역 1번,230
425,석촌역(석촌호수),233
426,연신내역 3번,60
427,굽은다리역,144
428,내방역 1번,206
429,암사역,230
430,연신내역,60
431,내방역,206
